,marca,preço,link
1342,Fonte Carregador Para Acer Aspire E5-571-376p 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271513/fonte-carregador-para-acer-aspire-e5-571-376p-19v-65w-479-voltagem-de-entrada
1313,Fonte Carregador Para Acer Aspire E5-522 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271692/fonte-carregador-para-acer-aspire-e5-522-19v-3-42a-65w-479-voltagem-de-entrada
1345,Fonte Carregador Para Acer Aspire V5-121 Séries19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271395/fonte-carregador-para-acer-aspire-v5-121-series19v-3-42a-65w-479-voltagem-de-entrada
1347,"Fonte Carregador Para Acer Aspire V5-122p, 19V, 3.42A, 65W, 479 - Voltagem De Entrada",78.99,https://www.kabum.com.br//produto/294537/fonte-carregador-para-acer-aspire-v5-122p-19v-3-42a-65w-479-voltagem-de-entrada
1348,Fonte Carregador Para Acer Aspie E15 E5-575-5157 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/250408/fonte-carregador-para-acer-aspie-e15-e5-575-5157-19v-65w-479-voltagem-de-entrada
1349,Fonte Carregador P/ Acer Aspire F15 F5-573-59tv 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271403/fonte-carregador-p-acer-aspire-f15-f5-573-59tv-19v-65w-479-voltagem-de-entrada
1350,Fonte Carregador Para Acer Aspire E5-574-50ld 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/239006/fonte-carregador-para-acer-aspire-e5-574-50ld-19v-65w-479-voltagem-de-entrada
1351,Fonte Carregador Para Acer Travelmate 2470 19v 3.42a 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271509/fonte-carregador-para-acer-travelmate-2470-19v-3-42a-479-voltagem-de-entrada
1352,Fonte Carregador P/ Acer Aspire N15w3 N15w5 N15w4 N15q5 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/240235/fonte-carregador-p-acer-aspire-n15w3-n15w5-n15w4-n15q5-479-voltagem-de-entrada
1353,"Fonte Carregador Para Acer Aspire Es1-533-c76f 19v 3,42a 479 - Voltagem De Entrada",78.99,https://www.kabum.com.br//produto/221505/fonte-carregador-para-acer-aspire-es1-533-c76f-19v-3-42a-479-voltagem-de-entrada
1346,Fonte Para Acer Aspire 5720-4516 4810tz-4969 4810 19v 3.42a 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271688/fonte-para-acer-aspire-5720-4516-4810tz-4969-4810-19v-3-42a-479-voltagem-de-entrada
1354,Fonte Carregador Para Acer Aspire 3810t 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271516/fonte-carregador-para-acer-aspire-3810t-19v-3-42a-65w-479-voltagem-de-entrada
1312,Fonte Carregador Para Acer Aspire 3810t 19v 3.42a 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/271516/fonte-carregador-para-acer-aspire-3810t-19v-3-42a-65w-479-voltagem-de-entrada
1310,Fonte Carregador P/ Acer Aspire N15w3 N15w5 N15w4 N15q5 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/240235/fonte-carregador-p-acer-aspire-n15w3-n15w5-n15w4-n15q5-479-voltagem-de-entrada
1073,Fonte Carregador P/ Acer Aspire E15 E5-571-376t 19v 65w 479 - Voltagem De Entrada,78.99,https://www.kabum.com.br//produto/221585/fonte-carregador-p-acer-aspire-e15-e5-571-376t-19v-65w-479-voltagem-de-entrada
